date,weekday,is_trading_day,reason,name
2021-02-28,Sunday,false,weekend,주말
2021-03-01,Monday,false,holiday,3·1절
2021-03-06,Saturday,false,weekend,주말
2021-03-07,Sunday,false,weekend,주말
2021-03-13,Saturday,false,weekend,주말
2021-03-14,Sunday,false,weekend,주말
2021-03-20,Saturday,false,weekend,주말
2021-03-21,Sunday,false,weekend,주말
2021-03-27,Saturday,false,weekend,주말
2021-03-28,Sunday,false,weekend,주말
2021-04-03,Saturday,false,weekend,주말
2021-04-04,Sunday,false,weekend,주말
2021-04-10,Saturday,false,weekend,주말
2021-04-11,Sunday,false,weekend,주말
2021-04-17,Saturday,false,weekend,주말
2021-04-18,Sunday,false,weekend,주말
2021-04-24,Saturday,false,weekend,주말
2021-04-25,Sunday,false,weekend,주말
2021-05-01,Saturday,false,weekend,주말
2021-05-02,Sunday,false,weekend,주말
2021-05-05,Wednesday,false,holiday,어린이날
2021-05-08,Saturday,false,weekend,주말
2021-05-09,Sunday,false,weekend,주말
2021-05-15,Saturday,false,weekend,주말
2021-05-16,Sunday,false,weekend,주말
2021-05-19,Wednesday,false,holiday,부처님 오신 날
2021-05-22,Saturday,false,weekend,주말
2021-05-23,Sunday,false,weekend,주말
2021-05-29,Saturday,false,weekend,주말
2021-05-30,Sunday,false,weekend,주말
2021-06-05,Saturday,false,weekend,주말
2021-06-06,Sunday,false,weekend,주말
2021-06-12,Saturday,false,weekend,주말
2021-06-13,Sunday,false,weekend,주말
2021-06-19,Saturday,false,weekend,주말
2021-06-20,Sunday,false,weekend,주말
2021-06-26,Saturday,false,weekend,주말
2021-06-27,Sunday,false,weekend,주말
2021-07-03,Saturday,false,weekend,주말
2021-07-04,Sunday,false,weekend,주말
2021-07-10,Saturday,false,weekend,주말
2021-07-11,Sunday,false,weekend,주말
2021-07-17,Saturday,false,weekend,주말
2021-07-18,Sunday,false,weekend,주말
2021-07-24,Saturday,false,weekend,주말
2021-07-25,Sunday,false,weekend,주말
2021-07-31,Saturday,false,weekend,주말
2021-08-01,Sunday,false,weekend,주말
2021-08-07,Saturday,false,weekend,주말
2021-08-08,Sunday,false,weekend,주말
2021-08-14,Saturday,false,weekend,주말
2021-08-15,Sunday,false,weekend,주말
2021-08-16,Monday,false,holiday,대체공휴일
2021-08-21,Saturday,false,weekend,주말
2021-08-22,Sunday,false,weekend,주말
2021-08-28,Saturday,false,weekend,주말
2021-08-29,Sunday,false,weekend,주말
2021-09-04,Saturday,false,weekend,주말
2021-09-05,Sunday,false,weekend,주말
2021-09-11,Saturday,false,weekend,주말
2021-09-12,Sunday,false,weekend,주말
2021-09-18,Saturday,false,weekend,주말
2021-09-19,Sunday,false,weekend,주말
2021-09-20,Monday,false,holiday,추석
2021-09-21,Tuesday,false,holiday,추석
2021-09-22,Wednesday,false,holiday,추석
2021-09-25,Saturday,false,weekend,주말
2021-09-26,Sunday,false,weekend,주말
2021-10-02,Saturday,false,weekend,주말
2021-10-03,Sunday,false,weekend,주말
2021-10-04,Monday,false,holiday,대체공휴일
2021-10-09,Saturday,false,weekend,주말
2021-10-10,Sunday,false,weekend,주말
2021-10-11,Monday,false,holiday,대체공휴일
2021-10-16,Saturday,false,weekend,주말
2021-10-17,Sunday,false,weekend,주말
2021-10-23,Saturday,false,weekend,주말
2021-10-24,Sunday,false,weekend,주말
2021-10-30,Saturday,false,weekend,주말
